"","times","mod","weather","variable","value"
"355",2021-02-18,"Real Data","1","Burgenland",0.904147592852975
"356",2021-02-19,"Real Data","1","Burgenland",0.769504437632774
"357",2021-02-20,"Real Data","1","Burgenland",0.722423471541195
"358",2021-02-21,"Real Data","1","Burgenland",0.739663190980332
"359",2021-02-22,"Real Data","1","Burgenland",0.811139308364536
"360",2021-02-23,"Real Data","1","Burgenland",0.854337707938517
"361",2021-02-24,"Real Data","1","Burgenland",0.750900293802067
"362",2021-02-25,"Real Data","1","Burgenland",0.767992287138502
"363",2021-02-26,"Real Data","1","Burgenland",0.812055643146942
"364",2021-02-27,"Real Data","1","Burgenland",0.839761891520307
"365",2021-02-28,"Real Data","1","Burgenland",0.82223972959566
"366",2020-03-01,"Fit","1","Burgenland",0.787896689428859
"367",2020-03-02,"Fit","1","Burgenland",0.782980910569537
"368",2020-03-03,"Fit","1","Burgenland",0.777964120833688
"369",2020-03-04,"Fit","1","Burgenland",0.772849909850589
"370",2020-03-05,"Fit","1","Burgenland",0.767642055746656
"371",2020-03-06,"Fit","1","Burgenland",0.762344517187694
"372",2020-03-07,"Fit","1","Burgenland",0.756961424881219
"373",2020-03-08,"Fit","1","Burgenland",0.751497072563963
"374",2020-03-09,"Fit","1","Burgenland",0.74595590750112
"375",2020-03-10,"Fit","1","Burgenland",0.740342520525261
"376",2020-03-11,"Fit","1","Burgenland",0.734661635644127
"377",2020-03-12,"Fit","1","Burgenland",0.728918099247691
"378",2020-03-13,"Fit","1","Burgenland",0.723116868945993
"379",2020-03-14,"Fit","1","Burgenland",0.717263002070216
"380",2020-03-15,"Fit","1","Burgenland",0.711361643870394
"381",2020-03-16,"Fit","1","Burgenland",0.705418015443945
"382",2020-03-17,"Fit","1","Burgenland",0.699437401429868
"383",2020-03-18,"Fit","1","Burgenland",0.693425137504094
"384",2020-03-19,"Fit","1","Burgenland",0.687386597711908
"385",2020-03-20,"Fit","1","Burgenland",0.681327181673772
"386",2020-03-21,"Fit","1","Burgenland",0.675252301701115
"387",2020-03-22,"Fit","1","Burgenland",0.669167369858858
"388",2020-03-23,"Fit","1","Burgenland",0.66307778501145
"389",2020-03-24,"Fit","1","Burgenland",0.656988919889188
"390",2020-03-25,"Fit","1","Burgenland",0.650906108211391
"391",2020-03-26,"Fit","1","Burgenland",0.64483463190279
"392",2020-03-27,"Fit","1","Burgenland",0.638779708439085
"393",2020-03-28,"Fit","1","Burgenland",0.63274647835719
"394",2020-03-29,"Fit","1","Burgenland",0.626739992965126
"395",2020-03-30,"Fit","1","Burgenland",0.620765202285832
"396",2020-03-31,"Fit","1","Burgenland",0.614826943268474
"397",2020-04-01,"Fit","1","Burgenland",0.608929928299924
"398",2020-04-02,"Fit","1","Burgenland",0.603078734048209
"399",2020-04-03,"Fit","1","Burgenland",0.597277790668683
"400",2020-04-04,"Fit","1","Burgenland",0.591531371402605
"401",2020-04-05,"Fit","1","Burgenland",0.585843582596615
"402",2020-04-06,"Fit","1","Burgenland",0.580218354170382
"403",2020-04-07,"Fit","1","Burgenland",0.57465943055837
"404",2020-04-08,"Fit","1","Burgenland",0.569170362150287
"405",2020-04-09,"Fit","1","Burgenland",0.563754497253377
"406",2020-04-10,"Fit","1","Burgenland",0.558414974598177
"407",2020-04-11,"Fit","1","Burgenland",0.553154716407869
"408",2020-04-12,"Fit","1","Burgenland",0.547976422049719
"409",2020-04-13,"Fit","1","Burgenland",0.542882562285495
"410",2020-04-14,"Fit","1","Burgenland",0.537875374136094
"411",2020-04-15,"Fit","1","Burgenland",0.532956856373857
"412",2020-04-16,"Fit","1","Burgenland",0.528128765654404
"413",2020-04-17,"Fit","1","Burgenland",0.523392613297994
"414",2020-04-18,"Fit","1","Burgenland",0.518749662728695
"415",2020-04-19,"Fit","1","Burgenland",0.514200927577864
"416",2020-04-20,"Fit","1","Burgenland",0.509747170456628
"417",2020-04-21,"Fit","1","Burgenland",0.5053889024003
"418",2020-04-22,"Fit","1","Burgenland",0.501126382985844
"419",2020-04-23,"Fit","1","Burgenland",0.496959621121762
"420",2020-04-24,"Fit","1","Burgenland",0.492888376507965
"421",2020-04-25,"Fit","1","Burgenland",0.488912161761472
"422",2020-04-26,"Fit","1","Burgenland",0.485030245202031
"423",2020-04-27,"Fit","1","Burgenland",0.48124165429006
"424",2020-04-28,"Fit","1","Burgenland",0.477545179707615
"425",2020-04-29,"Fit","1","Burgenland",0.473939380071462
"426",2020-04-30,"Fit","1","Burgenland",0.470422587265718
"427",2020-05-01,"Fit","1","Burgenland",0.466992912379949
"428",2020-05-02,"Fit","1","Burgenland",0.463648252237118
"429",2020-05-03,"Fit","1","Burgenland",0.460386296494264
"430",2020-05-04,"Fit","1","Burgenland",0.457204535297406
"431",2020-05-05,"Fit","1","Burgenland",0.454100267470786
"432",2020-05-06,"Fit","1","Burgenland",0.451070609219233
"433",2020-05-07,"Fit","1","Burgenland",0.448112503321225
"434",2020-05-08,"Fit","1","Burgenland",0.44522272878899
"435",2020-05-09,"Fit","1","Burgenland",0.442397910970898
"436",2020-05-10,"Fit","1","Burgenland",0.439634532070322
